epoch,step,train_loss
0,49,1.4652011394500732
0,99,1.5144261121749878
1,149,1.1389771699905396
1,199,1.1118334531784058
2,249,1.106139898300171
2,299,1.5300899744033813
3,349,1.1372308731079102
3,399,1.1454206705093384
4,449,1.0885474681854248
4,499,1.1997102499008179
5,549,1.2982940673828125
5,599,1.3033353090286255
6,649,1.0489524602890015
6,699,0.7116494178771973
7,749,0.9915024638175964
7,799,0.7802197933197021
8,849,0.9322325587272644
8,899,1.113599419593811
9,949,1.0272310972213745
9,999,1.1418451070785522
10,1049,1.1710118055343628
10,1099,1.232420802116394
11,1149,1.0438562631607056
11,1199,1.0829057693481445
12,1249,1.1848313808441162
12,1299,1.1534135341644287
13,1349,1.3378889560699463
13,1399,0.5266868472099304
14,1449,0.9552087783813477
14,1499,1.1778852939605713
15,1549,1.185181975364685
15,1599,1.432814121246338
16,1649,1.0291800498962402
16,1699,0.9491059184074402
17,1749,1.06975519657135
17,1799,1.1704639196395874
18,1849,1.1033031940460205
18,1899,0.9747455716133118
19,1949,1.0676286220550537
19,1999,1.1251558065414429
20,2049,0.866104245185852
20,2099,1.384748935699463
21,2149,1.0816563367843628
21,2199,1.4591645002365112
22,2249,1.0044279098510742
22,2299,0.9890937209129333
23,2349,1.0008243322372437
23,2399,1.306512713432312
24,2449,1.187154769897461
24,2499,1.1435414552688599
25,2549,1.0335780382156372
25,2599,1.1516410112380981
26,2649,1.1658623218536377
26,2699,1.2450710535049438
27,2749,1.0386474132537842
27,2799,0.8825258612632751
28,2849,1.1402910947799683
28,2899,1.2878531217575073
29,2949,1.0626418590545654
29,2999,1.2121332883834839
